gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
BRAF	305191	616	25	2590916	730855	0	280	11	0	2	33	1815229	0	0
PEA15	841605	386	29	450655	116750	0	2	0	0	50	188	24974693	0	0
PPP6C	951081	168	46	1162830	318027	0	32	2	0	50	165	28045218	0	0
TP53	2069567	213	34	1442563	398351	0	70	6	0	14	55	4514489	0	0
PTEN	259678	300	34	1414076	328768	0	48	0	0	4	8	1517750	5.551115e-16	2.094103e-12
NRAS	600650	472	11	657069	169521	0	122	0	0	9	27	3670153	8.881784e-16	2.792137e-12
CDKN2A	225405	357	-15	1113795	290007	0	57	6	0	5	16	1657383	4.440892e-15	1.196630e-11
NF1	462449	396	26	9736483	2602124	0	95	15	0	3	20	3531454	5.117714e-09	1.206629e-05
RAC1	NaN	NaN	NaN	721515	203145	0	29	1	0	1	1	724317	6.549973e-06	1.372729e-02
ARID2	820796	602	10	6047650	1781138	0	76	13	0	0	13	1781138	9.351048e-06	1.763795e-02
RB1	349930	450	41	3226036	824255	0	23	4	0	4	6	2539079	3.722977e-05	6.383891e-02
C1QTNF9	270913	589	44	1089511	331103	0	29	4	0	31	110	14505020	2.400929e-04	3.572590e-01
DDX3X	627364	NaN	54	2292036	584217	0	26	2	0	3	20	3065855	2.462288e-04	3.572590e-01
AGXT2	243997	675	23	1760590	476807	0	37	6	0	5	18	2724945	9.336332e-04	1
ZFX	615356	NaN	50	2814609	694896	0	24	1	0	2	3	1408939	1.100695e-03	1
B2M	673122	428	36	413762	110212	0	5	1	0	11	51	7168917	1.484690e-03	1
CTNNB1	305811	448	8	2613332	757474	0	25	2	0	6	10	2985998	1.525365e-03	1
GALNTL5	309129	476	12	1523821	387143	0	28	6	0	4	12	1821767	1.558396e-03	1
COL4A3	253951	211	10	5634822	1777869	0	79	9	0	24	57	11473723	2.229897e-03	1
RPL5	582788	274	4	1038141	259185	0	15	1	0	41	224	26341135	3.021248e-03	1
CYP3A5	1395063	430	34	1722296	461863	0	18	1	0	5	13	2948638	3.065498e-03	1
RARRES2	315538	514	32	556197	161115	0	10	1	0	14	63	7875488	3.441935e-03	1
TNFRSF8	517022	191	35	1993156	593090	0	26	6	0	7	30	4971682	3.544442e-03	1
LCE1B	64902	818	18	388544	111613	0	15	1	0	21	158	11633904	5.067205e-03	1
DDX4	331341	486	34	2562429	659871	0	25	4	0	4	9	2611931	5.782232e-03	1
HIST1H2AA	272695	635	29	419833	140567	0	21	3	0	14	97	5894941	6.018485e-03	1
HNF4G	47353	914	7	1542034	385742	0	50	8	0	1	20	1550907	6.249252e-03	1
EREG	174005	402	7	584217	152709	0	9	1	0	4	3	1648043	6.257985e-03	1
LCK	1427362	210	43	1740042	472137	0	33	9	0	9	44	4289395	7.583760e-03	1
MT4	598942	187	24	236302	45299	0	6	0	0	43	160	25708817	7.727636e-03	1
GDA	285414	207	11	1574257	410960	0	21	2	0	22	55	10853547	1.001105e-02	1
CLEC2B	295505	634	25	531913	120953	0	8	1	0	3	14	2229458	1.046872e-02	1
ASZ1	262404	394	-1	1651779	418899	0	24	3	0	15	58	9651956	1.057145e-02	1
NMS	226558	642	9	567405	135897	0	12	2	0	13	63	6625329	1.066120e-02	1
VEGFC	145765	585	-14	1434624	368463	0	35	6	0	4	31	2702529	1.067962e-02	1
TREML4	249047	607	38	679018	193805	0	15	0	0	15	68	7627044	1.109624e-02	1
FAM58A	940418	NaN	24	825189	242373	0	7	1	0	7	23	3408633	1.132946e-02	1
SPRR2G	822908	602	28	249845	66781	0	11	1	0	36	227	24883161	1.215058e-02	1
AMBRA1	880494	212	45	3962028	1214667	0	30	5	0	7	27	6505777	1.299375e-02	1
RBM46	73501	1021	-18	1788143	478675	0	31	5	0	2	8	1441629	1.330958e-02	1
EFCAB7	133143	401	7	2183692	535649	0	12	0	0	8	6	5117386	1.432937e-02	1
CYP3A4	1430454	438	42	1733504	452056	0	32	5	0	3	35	4297801	1.512826e-02	1
LECT2	489402	443	19	514634	141034	0	6	0	0	45	124	19460824	1.513467e-02	1
PRB1	175992	673	-18	1056354	358656	0	20	0	0	1	2	823788	1.549085e-02	1
RQCD1	939398	179	48	1003116	295611	0	16	1	0	50	179	27035564	1.645562e-02	1
VGLL3	55913	332	-18	1085775	305418	0	19	3	0	22	79	8577389	1.652215e-02	1
SPATA19	270077	622	-14	588887	153643	0	11	1	0	36	116	16336594	1.867495e-02	1
RIOK2	381706	614	28	1933380	477741	0	11	0	0	3	3	4373922	1.920817e-02	1
SPOCK1	216344	646	26	1523354	379204	0	20	2	0	7	15	2544683	1.955485e-02	1
ACSM4	1157790	439	27	1973542	535649	0	48	6	0	1	26	2164078	2.063651e-02	1
COL4A6	171617	NaN	31	5554031	1823635	0	63	12	0	4	23	4725106	2.138375e-02	1
CAMK1D	326642	556	35	1377183	347448	0	25	4	0	4	11	1774600	2.159705e-02	1
MAN1A2	358073	526	6	2179022	586552	0	16	3	0	22	51	11736177	2.317702e-02	1
IL5RA	59117	1039	-15	1480857	378270	0	18	3	0	4	14	2077683	2.376211e-02	1
IFNG	268405	717	-2	584684	134029	0	9	1	0	9	72	7456589	2.479781e-02	1
FBXW12	1401411	263	32	1643373	421701	0	20	3	0	32	143	19660233	2.605201e-02	1
KLF6	129035	476	2	963421	247043	0	10	2	0	23	73	8128135	2.856233e-02	1
PAIP2	835535	177	41	461396	93400	0	4	0	0	50	157	24470333	2.887230e-02	1
STARD6	99256	451	41	764012	191470	0	19	2	0	11	80	7611166	2.900780e-02	1
TMEM207	163494	373	9	495020	148039	0	6	2	0	12	74	6795317	2.989192e-02	1
BLNK	817052	804	34	1593404	417031	0	24	5	0	13	49	7143699	3.047417e-02	1
SPATA16	222219	577	-15	1964669	487081	0	46	8	0	4	19	1468248	3.106749e-02	1
MAN1C1	693953	443	29	2111774	601963	0	17	5	0	15	22	7078319	3.294595e-02	1
C11orf70	420989	358	-16	793900	200810	0	11	1	0	17	85	9332061	3.477939e-02	1
PARM1	175795	775	18	993309	330636	0	27	4	0	28	177	14456919	3.552136e-02	1
TFEC	236823	538	-14	1187581	314291	0	30	3	0	26	118	11043149	4.070685e-02	1
LUZP2	1913	1282	-32	1217469	302616	0	42	7	0	4	35	1952060	4.157066e-02	1
STARD4	181104	636	26	716845	176993	0	14	3	0	3	4	776621	4.166105e-02	1
CDH9	39282	1140	-26	2681514	700500	0	77	13	0	12	125	6795317	4.178966e-02	1
DAPL1	270644	361	14	372199	101339	0	3	0	0	16	54	7755002	4.187427e-02	1
IGFL2	1177162	249	28	477741	121887	0	13	2	0	8	32	4222614	4.193230e-02	1
COL21A1	263671	483	-11	3249853	939137	0	122	16	0	4	27	1579861	4.245175e-02	1
MAP2K1	506284	172	43	1350097	364727	0	28	4	0	3	10	1216535	4.339912e-02	1
WIPF1	463489	400	39	1594805	562735	0	15	1	0	5	10	3470277	4.372238e-02	1
TPTE2	288628	778	-16	1855391	454858	0	48	6	0	3	15	1258098	4.422960e-02	1
IDS	179393	NaN	3	1876873	525842	0	11	1	0	2	5	4643381	4.554647e-02	1
FLT3	346092	614	42	3447394	862082	0	50	9	0	13	45	5888870	4.556421e-02	1
DEFB105A	NaN	NaN	NaN	555730	127958	0	8	0	0	1	0	649130	4.585725e-02	1
REG1B	10958	1389	-22	588420	141501	0	17	3	0	8	73	3180737	4.700373e-02	1
C8orf4	10573	360	3	355387	97136	0	12	2	0	5	37	2849167	4.743070e-02	1
SPRR2E	687290	704	30	246576	65847	0	4	1	0	6	15	2082353	4.746530e-02	1
RNASE3	1070609	561	16	523507	158780	0	7	1	0	3	4	937736	4.860155e-02	1
MUCL1	590746	746	-4	304484	97603	0	11	4	0	2	140	4951134	4.864205e-02	1
C16orf90	805495	246	39	594491	185866	0	7	0	0	50	162	28908701	5.095086e-02	1
KLHL23	342296	393	35	1882477	483812	0	10	0	0	5	3	2432136	5.117072e-02	1
CD209	719851	329	21	1370178	368463	0	17	4	0	17	89	12166284	5.182687e-02	1
SNRPN	NaN	NaN	NaN	785494	261053	0	11	1	0	1	1	782225	5.283958e-02	1
DMBX1	592811	255	23	1236149	393214	0	22	5	0	18	82	8682464	5.379711e-02	1
CABP5	993450	433	26	605699	153643	0	12	3	0	6	48	5418601	5.482928e-02	1
RNF219	58504	954	4	2460623	625780	0	17	3	0	1	28	6763094	5.483163e-02	1
EYA4	97438	409	-8	2328462	615039	0	44	7	0	8	36	3405831	5.494239e-02	1
STRA13	3814891	211	28	224627	63979	0	4	0	0	50	157	23409309	5.507572e-02	1
CLK1	635570	201	31	1852589	429640	0	9	2	0	4	3	2000628	5.646507e-02	1
ZNF597	1361831	303	29	1443497	359590	0	21	2	0	14	43	7893701	5.688911e-02	1
CD72	1202125	248	37	1223540	334372	0	9	0	0	5	8	2339203	5.714169e-02	1
CTAGE9	NaN	NaN	NaN	2562896	707038	0	27	2	0	1	2	1228210	5.746252e-02	1
MGLL	587659	313	51	1044679	314291	0	13	3	0	6	13	3019155	5.759602e-02	1
DNAH6	NaN	NaN	NaN	14181856	3724325	0	30	1	0	1	1	4245497	5.763994e-02	1
STAT4	529053	318	19	2626408	649130	0	36	6	0	22	127	14201937	5.774659e-02	1
MPZL2	805791	211	41	730388	205480	0	11	4	0	6	41	4198330	5.780592e-02	1
NDRG4	678092	320	0	1354767	376869	0	12	3	0	33	107	19457088	5.836471e-02	1
PPP4R4	204538	714	17	3109753	803240	0	51	15	0	9	41	4049824	5.859866e-02	1
STEAP4	155853	454	-6	1507009	448787	0	26	3	0	6	24	3046708	5.963562e-02	1
KRTDAP	827597	367	29	356788	97136	0	7	1	0	32	129	15850914	5.966299e-02	1
